Ticker,Samples,Test_Size,Endo_Features,Exo_Features,Endo_F1,Endo_Precision,Endo_Recall,Endo_AUC,Exo_F1,Exo_Precision,Exo_Recall,Exo_AUC,F1_Lift,Exo_Better,DM_Stat,P_Value,Significant
EFIH.CA,859,171,37,46,0.31901840490797545,0.43333333333333335,0.2524271844660194,0.36793260993717875,0.323943661971831,0.5897435897435898,0.22330097087378642,0.4237578526556253,0.015438786565547199,True,6.473280573526291,9.87999015933383e-10,True
EKHO.CA,3566,713,34,40,0.36298932384341637,0.4015748031496063,0.33116883116883117,0.485674202340869,0.48265460030165913,0.4507042253521127,0.5194805194805194,0.5042889209555876,0.32966610475261,True,-1.46486176825247,0.14340004293932118,False
EMFD.CA,2114,422,38,47,0.5925925925925926,0.51985559566787,0.6889952153110048,0.5591122492530943,0.6309523809523809,0.5389830508474577,0.7607655502392344,0.6054765595165892,0.06473214285714288,True,0.7340173162740201,0.4633467703104057,False
ETEL.CA,3827,765,38,45,0.6791393826005613,0.6080402010050251,0.7690677966101694,0.4847934864348933,0.049079754601226995,0.7058823529411765,0.025423728813559324,0.49298605888818187,-0.9277324274535651,False,-6.735440433632497,3.214717381183618e-11,True
EXPA.CA,4415,883,36,44,0.5922592259225923,0.49251497005988026,0.7426636568848759,0.46574235583829265,0.48873873873873874,0.48764044943820223,0.4898419864559819,0.4942950954237636,-0.17478915085298066,False,0.3950546338317203,0.6928980878949824,False
FAIT.CA,3637,727,34,40,0.6295907660020986,0.5714285714285714,0.7009345794392523,0.48772387709811515,0.5842424242424242,0.6070528967254408,0.5630841121495327,0.5096583627668553,-0.07202828282828283,False,-1.4104464902727964,0.15883619015216222,False
FWRY.CA,1292,258,36,44,0.45454545454545453,0.625,0.35714285714285715,0.5326548451548452,0.42857142857142855,0.8035714285714286,0.2922077922077922,0.5693056943056943,-0.05714285714285716,False,-0.5378232681099472,0.5911644838688233,False
GBCO.CA,3692,738,37,45,0.4090909090909091,0.6961325966850829,0.2896551724137931,0.5808884336709533,0.07079646017699115,0.9411764705882353,0.0367816091954023,0.5613140624407269,-0.8269419862340216,False,-1.024059692530994,0.3061430851162701,False
HDBK.CA,4354,870,37,42,0.6386266094420601,0.5577211394302849,0.7469879518072289,0.5213002547825711,0.5675954592363261,0.583864118895966,0.5522088353413654,0.4984184048020037,-0.11122485213666669,False,-0.5166972769601719,0.6054989631565908,False
HELI.CA,4884,976,35,41,0.4728682170542636,0.46037735849056605,0.4860557768924303,0.4187847765057912,0.15181518151815182,0.4423076923076923,0.09163346613545817,0.5270773446299192,-0.6789482226911215,False,-1.0885526671342167,0.2766201923083986,False
HRHO.CA,4819,963,33,39,0.3209242618741977,0.4807692307692308,0.24084778420038536,0.4695880851950217,0.3411458333333333,0.5261044176706827,0.2524084778420039,0.4974309569685292,0.06301041666666657,True,4.757655748649298,2.2585738694846924e-06,True
ISPH.CA,1652,330,37,45,0.44936708860759494,0.6513761467889908,0.34299516908212563,0.4533993166018617,0.4875,0.6902654867256637,0.37681159420289856,0.5837359098228663,0.08485915492957742,True,2.7665693864710237,0.005985162029512159,True
JUFO.CA,3002,600,50,58,0.6016260162601627,0.5481481481481482,0.6666666666666666,0.47873716413042255,0.6368421052631579,0.5667447306791569,0.7267267267267268,0.4724724724724724,0.05853485064011367,True,0.0811328970300921,0.9353633644763213,False
MASR.CA,4517,903,36,41,0.39425587467362927,0.515358361774744,0.3192389006342495,0.5113132405722994,0.28527131782945736,0.5348837209302325,0.1945031712473573,0.5482422931314224,-0.2764310282868731,False,-0.709024684535516,0.4784923716897431,False
MFPC.CA,1845,369,28,36,0.36721311475409835,0.4057971014492754,0.33532934131736525,0.47569217999644275,0.5373831775700935,0.44061302681992337,0.688622754491018,0.4843036698879469,0.46340954606141527,True,2.196480536758355,0.02868075029517203,True
OCDI.CA,4939,987,22,28,0.37681159420289856,0.46846846846846846,0.3151515151515151,0.47390983000739095,0.6177215189873417,0.5304347826086957,0.7393939393939394,0.5720436067997043,0.6393378773125608,True,2.888130633599996,0.003960132015803808,True
ORHD.CA,2715,543,34,39,0.3103448275862069,0.6057692307692307,0.20860927152317882,0.43693495644527497,0.5335515548281505,0.5275080906148867,0.5397350993377483,0.45997636778324313,0.719221676668485,True,3.9897526836382844,7.523477123627664e-05,True
PHDC.CA,3660,732,28,35,0.5454545454545454,0.6069364161849711,0.49528301886792453,0.5367327248223475,0.2920517560073937,0.6752136752136753,0.18632075471698112,0.5401709139916687,-0.4645717806531115,False,-5.920793988026051,4.927476204841241e-09,True
SAUD.CA,4383,876,36,41,0.12389380530973451,0.6730769230769231,0.0682261208576998,0.5230105413518492,0.23064770932069512,0.6083333333333333,0.14230019493177387,0.5274434939506709,0.8616565109456106,True,-2.5713181024281138,0.010295364861316214,True
SKPC.CA,3910,782,37,44,0.5886363636363636,0.5546038543897216,0.6271186440677966,0.537799300511165,0.5292740046838408,0.5124716553287982,0.5472154963680388,0.5139241586120462,-0.10084725073015464,False,-0.4336282779663276,0.6646781432316908,False
SWDY.CA,3864,772,36,43,0.599294947121034,0.6144578313253012,0.5848623853211009,0.5752170707732635,0.6769527483124397,0.5840266222961731,0.805045871559633,0.49471316622979467,0.12958193885075725,True,2.508010017175098,0.012345686041606019,True
